År;Församlings-kod;Kommun;Församling;Summa, inkl. kyrkoavgift;Summa, exkl. kyrkoavgift;Kommunal-skatt;Landstings-skatt;Begravnings-avgift;Kyrkoavgift
2026;01 82;NACKA;SALTSJÖBADENS FÖRSAMLING;31.332;30.402;17.78;12.33;0.292;0.93
2026;01 83;SUNDBYBERG;SUNDBYBERGS FÖRSAMLING;32.597;31.872;19.25;12.33;0.292;0.725
2026;01 84;SOLNA;SOLNA FÖRSAMLING;30.682;29.992;17.37;12.33;0.292;0.69
2026;01 86;LIDINGÖ;LIDINGÖ FÖRSAMLING;30.632;29.962;17.34;12.33;0.292;0.67
2026;01 87;VAXHOLM;VAXHOLMS FÖRSAMLING;32.772;31.922;19.3;12.33;0.292;0.85
2026;01 88;NORRTÄLJE;BLIDÖ FÖRSAMLING;33.402;32.342;19.72;12.33;0.292;1.06
2026;01 88;NORRTÄLJE;EDSBRO-UNUNGE FÖRSAMLING;33.532;32.342;19.72;12.33;0.292;1.19
2026;01 88;NORRTÄLJE;ESTUNA OCH SÖDERBY-KARLS FÖRSAMLING;33.402;32.342;19.72;12.33;0.292;1.06
2026;01 88;NORRTÄLJE;FASTERNA FÖRSAMLING;33.532;32.342;19.72;12.33;0.292;1.19
2026;01 88;NORRTÄLJE;FRÖTUNA FÖRSAMLING;33.402;32.342;19.72;12.33;0.292;1.06
2026;01 88;NORRTÄLJE;GOTTRÖRA FÖRSAMLING;33.532;32.342;19.72;12.33;0.292;1.19
2026;01 88;NORRTÄLJE;HUSBY, SKEDERIDS OCH RÖ FÖRSAMLING;33.532;32.342;19.72;12.33;0.292;1.19
2026;01 88;NORRTÄLJE;HÄVERÖ-EDEBO FÖRSAMLING;33.532;32.342;19.72;12.33;0.292;1.19
2026;01 88;NORRTÄLJE;LOHÄRADS FÖRSAMLING;33.402;32.342;19.72;12.33;0.292;1.06
2026;01 88;NORRTÄLJE;LÄNNA FÖRSAMLING;33.402;32.342;19.72;12.33;0.292;1.06
2026;01 88;NORRTÄLJE;NORRTÄLJE-MALSTA FÖRSAMLING;33.402;32.342;19.72;12.33;0.292;1.06
